id=1, nameBuyer='BUYER1pool-1-thread-2', countOrders=1, allSum=2, calories=0
id=0, nameBuyer='BUYER0pool-1-thread-1', countOrders=3, allSum=20, calories=0
id=3, nameBuyer='BUYER3pool-1-thread-4', countOrders=3, allSum=20, calories=0
id=69, nameBuyer='BUYER69pool-1-thread-70', countOrders=4, allSum=11, calories=0
id=105, nameBuyer='BUYER105pool-1-thread-106', countOrders=1, allSum=5, calories=0
id=7, nameBuyer='BUYER7pool-1-thread-8', countOrders=1, allSum=2, calories=0
id=129, nameBuyer='BUYER129pool-1-thread-130', countOrders=1, allSum=2, calories=0
id=133, nameBuyer='BUYER133pool-1-thread-134', countOrders=1, allSum=5, calories=0
id=137, nameBuyer='BUYER137pool-1-thread-138', countOrders=3, allSum=20, calories=0
id=11, nameBuyer='BUYER11pool-1-thread-12', countOrders=3, allSum=20, calories=0
